h_rate,controller,seed,viol_rate,final_V,auc_V,pearson
0.1,C3_EMA,35,0.2832832832832833,0.030976146122111983,2.071519661019959,0.9208902809749605
0.1,C3_EMA,36,0.2772772772772773,0.10642302058332805,2.1282009990746813,0.878582841659134
0.1,C3_EMA,37,0.2682682682682683,0.04299029147859105,2.036793650915784,0.8763793530840027
0.1,C3_EMA,38,0.2832832832832833,1.4069014470360621,2.15887697091714,0.8987861914026707
0.1,C3_EMA,39,0.26326326326326327,0.7170289205398824,2.1115582041023244,0.9074517511480203
0.1,C3_raw,0,0.5085085085085085,0.3940094585126707,0.6547164661989398,0.47756076729410735
0.1,C3_raw,1,0.5085085085085085,0.5637937743845884,0.6634723929923053,0.5435893569025089
0.1,C3_raw,2,0.4984984984984985,0.671865642254014,0.6817153407472903,0.7761309193101045
0.1,C3_raw,3,0.5165165165165165,0.6094359903929039,0.6638867189500205,0.7969360079964695
0.1,C3_raw,4,0.4984984984984985,0.7485464491150393,0.6610091095128641,0.6476200155304749
0.1,C3_raw,5,0.5025025025025025,0.540623712521696,0.6721295986671513,0.13728536405267575
0.1,C3_raw,6,0.5005005005005005,0.49200183815775456,0.6779847789284761,0.7578129764886736
0.1,C3_raw,7,0.5055055055055055,0.568424607121068,0.6559160088527795,0.7273910212164544
0.1,C3_raw,8,0.5035035035035035,0.6308822508434561,0.6645033230144916,0.5208589682418393
0.1,C3_raw,9,0.5235235235235235,0.5360247625937913,0.6566948670688111,0.8071285661148467
0.1,C3_raw,10,0.5015015015015015,0.5735259961993965,0.6516628212268104,0.7848205012493041
0.1,C3_raw,11,0.5125125125125125,0.7001354293345109,0.6860912326885052,0.6702320294446671
0.1,C3_raw,12,0.5015015015015015,0.5919897007112364,0.6682158182289285,0.6331221222204012
0.1,C3_raw,13,0.5025025025025025,0.5051233810310081,0.6925335575362686,0.266668299548891
0.1,C3_raw,14,0.5125125125125125,0.4635754207808752,0.6582796657440003,0.7164080877499397
0.1,C3_raw,15,0.5015015015015015,0.4245499302234862,0.6591874096425964,0.703448114249607
0.1,C3_raw,16,0.5005005005005005,0.2784317198098334,0.6724335046966671,0.4261773646015231
0.1,C3_raw,17,0.5105105105105106,0.6611827497491728,0.6669195505799757,0.30754733438289905
0.1,C3_raw,18,0.5115115115115115,0.4312451686788776,0.6604981816649708,0.6689834050964393
0.1,C3_raw,19,0.5125125125125125,0.681771775680003,0.647592140689821,0.3706828868201122
0.1,C3_raw,20,0.5025025025025025,0.6536130257217914,0.6689483649315566,0.6280530430339956
0.1,C3_raw,21,0.5145145145145145,0.24186082678085732,0.677588037581007,0.21380804958000882
0.1,C3_raw,22,0.5015015015015015,1.8405945187753945,0.677987457798979,0.6924063534413084
0.1,C3_raw,23,0.5095095095095095,0.15816910987087163,0.6716228793753205,0.5789706941994132
0.1,C3_raw,24,0.5075075075075075,0.1558992791292833,0.6705558216571069,0.7844451669419505
0.1,C3_raw,25,0.5115115115115115,0.7996626134129997,0.6481362695959417,0.7829002636087079
0.1,C3_raw,26,0.5045045045045045,0.31319611736217706,0.6669012729445248,0.684085429551387
0.1,C3_raw,27,0.5135135135135135,0.84313642892862,0.6832969494233377,0.18790340059625593
0.1,C3_raw,28,0.5075075075075075,0.38484447447684544,0.647250119266662,0.7666442137720002
0.1,C3_raw,29,0.5005005005005005,0.4302284688987758,0.65273926634438,0.7590211439860546
0.1,C3_raw,30,0.5145145145145145,0.8668104479411189,0.6614612216489377,0.5634595784300169
0.1,C3_raw,31,0.5115115115115115,1.2514312549472604,0.6595676187532155,0.7165562984074331
0.1,C3_raw,32,0.5065065065065065,0.613762560401059,0.6750846849492256,0.8215587633156183
0.1,C3_raw,33,0.5155155155155156,0.29868104797477957,0.6622887917562766,0.8122549507885898
0.1,C3_raw,34,0.5005005005005005,0.3552539611779637,0.652601334490541,0.6501998465644564
0.1,C3_raw,35,0.5085085085085085,0.4237804997600642,0.6980134215421561,0.22309042398279477
0.1,C3_raw,36,0.5145145145145145,0.43050472621361197,0.6576346780403919,0.7145487839082901
0.1,C3_raw,37,0.5115115115115115,0.7936597712541835,0.6734681302680183,0.7998016179002294
0.1,C3_raw,38,0.5025025025025025,2.32743657545629,0.6488260754579035,0.7859898831636389
0.1,C3_raw,39,0.5065065065065065,0.6765435190947269,0.6648681703841259,0.6904674492199552
