regime,hallucination_rate,seed,spearman_rho,kendall_tau,final_V_true,final_V_hat
stationary,0.1,208,0.4358,0.33,0.1501,0.0044
stationary,0.1,209,0.4628,0.348,11.4293,72.8321
stationary,0.1,210,0.409,0.3075,0.0299,0.0001
stationary,0.1,211,0.3771,0.2835,7.4833,78.2242
stationary,0.1,212,0.3884,0.2946,0.0735,0.0
stationary,0.1,213,0.4329,0.3197,0.1073,0.0
stationary,0.1,214,0.3505,0.2675,0.0076,0.0
stationary,0.1,215,0.4948,0.3711,0.0498,0.0001
stationary,0.1,216,0.3942,0.2972,0.0568,0.0
stationary,0.1,217,0.406,0.3063,0.0956,0.0
stationary,0.1,218,0.3838,0.2843,0.2105,0.0002
stationary,0.1,219,0.3907,0.2935,5.7088,29.1643
stationary,0.1,220,0.4443,0.3346,0.5175,0.012
stationary,0.1,221,0.4278,0.318,0.044,0.0002
stationary,0.1,222,0.4137,0.309,1.1744,0.9609
stationary,0.1,223,0.4354,0.324,0.1374,0.0
stationary,0.1,224,0.4366,0.3245,0.0812,0.0
stationary,0.1,225,0.3682,0.2824,0.1026,0.0066
stationary,0.1,226,0.4105,0.3112,0.2335,0.006
stationary,0.1,227,0.3885,0.2913,0.1745,0.0083
stationary,0.1,228,0.4523,0.3399,0.2136,0.007
stationary,0.1,229,0.3979,0.2999,0.0969,0.0
stationary,0.1,230,0.5227,0.3953,0.975,0.1781
stationary,0.1,231,0.4004,0.3096,0.0673,0.0
stationary,0.1,232,0.4472,0.338,0.1926,0.0
stationary,0.1,233,0.4072,0.31,0.168,0.0202
stationary,0.1,234,0.4618,0.3453,0.1291,0.006
stationary,0.1,235,0.3476,0.271,0.3966,0.1931
stationary,0.1,236,0.4046,0.3018,0.0041,0.0001
stationary,0.1,237,0.3795,0.2813,0.8621,0.0051
stationary,0.1,238,0.4015,0.3109,0.0695,0.0
stationary,0.1,239,0.3837,0.2913,0.1042,0.0066
stationary,0.1,240,0.4588,0.3478,0.2556,0.0
stationary,0.1,241,0.3637,0.2757,0.0447,0.001
stationary,0.3,42,0.6543,0.5016,0.3369,0.0
stationary,0.3,43,0.6255,0.4783,0.9449,0.0015
stationary,0.3,44,0.6653,0.5158,0.5321,0.0
stationary,0.3,45,0.6447,0.4898,1.067,0.5351
stationary,0.3,46,0.6563,0.5076,0.3794,0.0
stationary,0.3,47,0.5841,0.4451,0.8837,0.0003
stationary,0.3,48,0.6369,0.4876,0.0657,0.0003
stationary,0.3,49,0.6531,0.5033,0.0374,0.0
stationary,0.3,50,0.6562,0.5071,4.3038,5.4914
stationary,0.3,51,0.6436,0.4945,0.3702,0.0
stationary,0.3,52,0.6331,0.4795,1.9697,0.0
stationary,0.3,53,0.6448,0.4962,5.7932,11.4273
stationary,0.3,54,0.6347,0.4883,0.4603,0.0
stationary,0.3,55,0.5713,0.4347,0.3871,0.181
stationary,0.3,56,0.579,0.4402,0.3015,0.0
stationary,0.3,57,0.6407,0.4925,2.3057,1.5444
stationary,0.3,58,0.5873,0.4505,0.4852,0.0
stationary,0.3,59,0.603,0.4665,0.1401,0.0068
stationary,0.3,60,0.6335,0.4862,0.819,0.0
stationary,0.3,61,0.6365,0.4865,6.5972,27.3466
stationary,0.3,62,0.6244,0.4763,2.8638,1.8648
stationary,0.3,63,0.5275,0.3961,0.2237,0.0
stationary,0.3,64,0.6343,0.4794,1.1485,0.0
stationary,0.3,65,0.6161,0.4672,1.7326,1.2094
stationary,0.3,66,0.6562,0.5014,0.4273,0.0
stationary,0.3,67,0.634,0.4839,2.9728,7.9513
stationary,0.3,68,0.614,0.4692,0.2253,0.0
stationary,0.3,69,0.5898,0.4556,0.483,0.002
stationary,0.3,70,0.6475,0.491,0.0226,0.0001
stationary,0.3,71,0.6555,0.4955,15.3433,30.1797
stationary,0.3,72,0.6225,0.4819,0.0108,0.0001
stationary,0.3,73,0.6195,0.4758,0.3279,0.0
stationary,0.3,74,0.6601,0.5107,1.334,0.0351
stationary,0.3,75,0.6227,0.4761,1.5847,0.0871
stationary,0.3,76,0.606,0.4659,1.7118,0.3525
stationary,0.3,77,0.5739,0.4408,1.0741,0.0
stationary,0.3,78,0.6009,0.4568,1.2105,0.4366
stationary,0.3,79,0.6199,0.4714,0.1092,0.0
stationary,0.3,80,0.5894,0.4492,0.1752,0.0
stationary,0.3,81,0.6768,0.5286,0.5441,0.0
stationary,0.3,82,0.6006,0.4582,0.066,0.0
stationary,0.3,83,0.6094,0.4593,2.1232,1.6694
stationary,0.3,84,0.5767,0.4426,2.0219,0.0077
stationary,0.3,85,0.6062,0.4647,2.2079,0.0191
stationary,0.3,86,0.5699,0.4292,3.4009,4.7479
stationary,0.3,87,0.714,0.5536,0.0394,0.0002
stationary,0.3,88,0.6409,0.4894,0.2893,0.0
stationary,0.3,89,0.635,0.4878,15.9373,97.5607
stationary,0.3,90,0.6239,0.4762,0.0532,0.0
stationary,0.3,91,0.6678,0.514,5.7505,26.0124
stationary,0.3,92,0.5554,0.4285,1.2644,0.0
stationary,0.3,93,0.5956,0.4549,1.2487,0.1829
stationary,0.3,94,0.6025,0.4613,5.6708,2.6221
stationary,0.3,95,0.5988,0.4553,2.8787,1.9114
stationary,0.3,96,0.6267,0.4716,4.6757,30.6267
stationary,0.3,97,0.596,0.4535,6.593,16.2807
stationary,0.3,98,0.6089,0.4705,2.3108,0.0098
stationary,0.3,99,0.6029,0.4557,0.0481,0.0005
stationary,0.3,100,0.5993,0.4515,0.5696,0.0
stationary,0.3,101,0.6431,0.4949,0.1426,0.0002
stationary,0.3,102,0.5815,0.4445,7.146,67.5908
stationary,0.3,103,0.6305,0.4867,1.8527,4.6903
stationary,0.3,104,0.6154,0.4682,1.1449,1.1082
stationary,0.3,105,0.6364,0.4874,5.3058,7.7297
stationary,0.3,106,0.5981,0.4566,3.2383,9.1187
stationary,0.3,107,0.5913,0.4569,0.055,0.0002
stationary,0.3,108,0.5689,0.4416,3.9915,0.0
stationary,0.3,109,0.6537,0.504,0.3996,0.0
stationary,0.3,110,0.6246,0.4782,0.3369,0.0
stationary,0.3,111,0.6453,0.4933,1.0565,0.0
stationary,0.3,112,0.6281,0.4773,0.3598,0.0
