seed,ablation,h_rate,final_energy,mean_energy,max_energy,total_regret,oscillation_count,oscillation_index,c2_rejections,c2_rejection_rate,drift_detections,mean_detection_delay,mean_recovery_energy,lr_base
3,C1+C3,0.3,4.9420914845373565,8.540605289006608,68.8028832739441,5151.177188950786,158,0.2633333333333333,0,0.0,0,50.0,15.608881988761254,0.5
4,C1+C3,0.3,0.7311770040474572,9.071745573897537,66.43190426147113,5405.745921428835,150,0.25,0,0.0,9,50.0,7.368986612276466,0.5
5,C1+C3,0.3,6.3396110355512665,8.350941657503041,49.45340186440499,4973.7292170307255,167,0.2783333333333333,0,0.0,5,34.0,4.6187534524094715,0.5
6,C1+C3,0.3,11.916242857122677,8.613261795985819,49.55520240667967,5163.165871119171,152,0.25333333333333335,0,0.0,9,50.0,9.808795381813766,0.5
7,C1+C3,0.3,6.635168766867826,8.782369406737061,88.32248585545632,5232.154759420999,139,0.23166666666666666,0,0.0,23,50.0,8.681418748293193,0.5
8,C1+C3,0.3,0.632849939024405,7.670615173192773,58.10331451758397,4567.762140701211,174,0.29,0,0.0,8,50.0,13.80729687506771,0.5
9,C1+C3,0.3,1.043059848529006,8.664996617266732,61.173832222426356,5168.344010649387,150,0.25,0,0.0,4,50.0,14.048719386720773,0.5
10,C1+C3,0.3,27.07455729996468,7.744365182641092,48.823441578159574,4649.229386860257,181,0.3016666666666667,0,0.0,5,50.0,7.9969385601629615,0.5
11,C1+C3,0.3,5.215508536905492,9.388065017902886,233.39626556814227,5613.403388477287,152,0.25333333333333335,0,0.0,0,50.0,13.931026503367423,0.5
12,C1+C3,0.3,0.5683107882996543,7.475366391461946,47.10362630522558,4467.479871645748,170,0.2833333333333333,0,0.0,0,50.0,3.981147779019719,0.5
13,C1+C3,0.3,1.0406944987165023,8.706478935673726,73.5040272141136,5217.743466045485,150,0.25,0,0.0,0,50.0,2.4479806788799854,0.5
14,C1+C3,0.3,3.0974806881898576,7.326358016640861,49.237101274606395,4375.055641289795,176,0.29333333333333333,0,0.0,0,50.0,3.6063750912549972,0.5
15,C1+C3,0.3,7.1871598048214524,10.352009633161833,65.9609663253963,6215.258169766178,159,0.265,0,0.0,12,25.0,10.889595250243987,0.5
16,C1+C3,0.3,0.9698084081302444,7.0685674575296815,41.04462927643011,4271.593346831624,178,0.2966666666666667,0,0.0,0,50.0,1.3911458164618988,0.5
17,C1+C3,0.3,11.55840297503546,8.49210355732321,97.20242708200965,5110.658328692755,178,0.2966666666666667,0,0.0,1,42.5,3.5919685453558095,0.5
18,C1+C3,0.3,6.976431203491586,9.520223115820537,98.23284645882626,5718.5674070480345,153,0.255,0,0.0,1,50.0,2.757068961828176,0.5
19,C1+C3,0.3,6.58606571842329,8.828710823459952,112.32436458259141,5293.029924389665,159,0.265,0,0.0,5,36.0,15.487696502025694,0.5
0,C2+C3,0.3,3.4047159726922334,12.580183241333376,47.088955137314784,7544.189408418992,54,0.09,470,0.7833333333333333,0,50.0,18.69379460007678,0.5
1,C2+C3,0.3,9.435390778393177,12.424455998719571,55.07530258411385,7460.652300850868,46,0.07666666666666666,490,0.8166666666666667,0,50.0,9.057612192366241,0.5
2,C2+C3,0.3,3.067090925263904,11.895947678154304,85.0138706544529,7139.6041093635695,58,0.09666666666666666,434,0.7233333333333334,0,50.0,5.435654264130658,0.5
3,C2+C3,0.3,4.852224891160957,10.711883546836514,78.10760816998358,6437.481162590989,53,0.08833333333333333,470,0.7833333333333333,0,50.0,9.906987403746308,0.5
4,C2+C3,0.3,11.539607188126531,10.928517856186925,98.61049691596753,6542.581967802966,49,0.08166666666666667,456,0.76,0,50.0,10.211040465670184,0.5
5,C2+C3,0.3,12.857191508923968,10.590545844188133,40.03764814008627,6320.109829202765,55,0.09166666666666666,474,0.79,0,50.0,6.878391035172157,0.5
