noise,controller,seed,deadlock_steps,deadlock_rate,nonzero_frac,convergence,final_V,V_0
Student-t(3),C3_EMA,21,0,0.0,1.0,0,14.641615950321112,12.297378970961482
Student-t(3),C3_EMA,22,0,0.0,1.0,1,2.1525570968689944,3.0593028301554046
Student-t(3),C3_EMA,23,0,0.0,1.0,1,0.9216562094052008,4.544179635421321
Student-t(3),C3_EMA,24,0,0.0,1.0,1,1.7864396008956973,2.2128806791912536
Student-t(3),C3_EMA,25,0,0.0,1.0,0,7.673431004956352,1.0416709728727993
Student-t(3),C3_EMA,26,0,0.0,1.0,1,0.7071622291921335,7.4196048792050915
Student-t(3),C3_EMA,27,0,0.0,1.0,1,1.974238477482317,11.50874395745027
Student-t(3),C3_EMA,28,1,0.001,0.999,0,14.890232084667208,3.8622167919406096
Student-t(3),C3_EMA,29,0,0.0,1.0,0,1.7087366288759456,1.4369788090581597
Student-t(3),C3_EMA,30,0,0.0,1.0,1,0.614811645538516,4.911226613214972
Student-t(3),C3_EMA,31,0,0.0,1.0,1,1.3352758820816897,2.210148220317446
Student-t(3),C3_EMA,32,0,0.0,1.0,0,1.821859978876551,0.4163603246102374
Student-t(3),C3_EMA,33,1,0.001,0.999,0,1.7507825817987077,1.6003971498252367
Student-t(3),C3_EMA,34,0,0.0,1.0,1,0.24970688911779704,4.375689993348433
Student-t(3),C3_EMA,35,0,0.0,1.0,1,4.7542146217964145,11.132984040937426
Student-t(3),C3_EMA,36,0,0.0,1.0,0,1.1940981599386602,1.0827455719306436
Student-t(3),C3_EMA,37,0,0.0,1.0,0,39.01728891611375,2.037471286976419
Student-t(3),C3_EMA,38,0,0.0,1.0,1,0.33806047722703353,2.9714783346232023
Student-t(3),C3_EMA,39,1,0.001,0.999,1,1.9666442739284622,2.523337561998638
Student-t(3),C3_raw,0,0,0.0,1.0,1,1.8102633376867685,5.149800153604376
Student-t(3),C3_raw,1,0,0.0,1.0,1,0.6604253227026681,4.142171332872086
Student-t(3),C3_raw,2,0,0.0,1.0,1,1.0609285695734687,3.0014691474254476
Student-t(3),C3_raw,3,0,0.0,1.0,1,2.830209406141917,4.151562153760945
Student-t(3),C3_raw,4,0,0.0,1.0,1,0.5562316030277781,2.344321159413381
Student-t(3),C3_raw,5,0,0.0,1.0,1,0.6031868557442117,9.517482022847261
Student-t(3),C3_raw,6,0,0.0,1.0,1,0.22116027428129456,2.382941827580161
Student-t(3),C3_raw,7,0,0.0,1.0,1,0.8472088160024801,3.403035202565921
Student-t(3),C3_raw,8,0,0.0,1.0,1,1.4384216992811851,5.033431431232955
Student-t(3),C3_raw,9,0,0.0,1.0,1,0.4025426513767434,0.7989882134512369
Student-t(3),C3_raw,10,0,0.0,1.0,1,0.9379072922495567,4.113429356012993
Student-t(3),C3_raw,11,0,0.0,1.0,1,1.4793447945148321,2.6215576767854696
Student-t(3),C3_raw,12,0,0.0,1.0,1,0.2093241001551687,4.859422121724326
