refuter,ate_orig,ate_refuted,delta_ratio,passed,seed,scenario,type,tau_true,gamma,is_fragile
data_subset,-0.022790490555746175,0.2743396869510901,0.3854601097639246,1,62,50,fragile_strong,0.0,0.5,1
random_common_cause,0.8266081904567235,0.8771073363194286,0.06109199793290573,1,62,51,reliable_strong,1.0,0.0,0
placebo_treatment,0.8266081904567235,0.02954345780448675,0.03574058198983388,1,62,51,reliable_strong,1.0,0.0,0
data_subset,0.8266081904567235,0.911488990627238,0.23605419632389502,1,62,51,reliable_strong,1.0,0.0,0
random_common_cause,0.6230271975587317,0.6525637870605762,0.047408186380274504,1,62,52,reliable_weak,0.5,0.0,0
placebo_treatment,0.6230271975587317,0.30844029832901776,0.49506714881406383,1,62,52,reliable_weak,0.5,0.0,0
data_subset,0.6230271975587317,0.5276586612095024,0.16973348859516943,1,62,52,reliable_weak,0.5,0.0,0
random_common_cause,-0.04677088218356735,-0.035629685772375796,0.23820795954765933,0,62,53,fragile_mild,0.0,0.3,1
placebo_treatment,-0.04677088218356735,-2.175201289259583,46.50759591667112,0,62,53,fragile_mild,0.0,0.3,1
data_subset,-0.04677088218356735,-0.37321890100603367,0.36652378826945353,1,62,53,fragile_mild,0.0,0.3,1
random_common_cause,-0.33193220349631264,-0.3347395452665578,0.008457575796125941,1,62,54,fragile_mild,0.0,0.3,1
placebo_treatment,-0.33193220349631264,-0.6375641259467865,1.920766105943285,0,62,54,fragile_mild,0.0,0.3,1
data_subset,-0.33193220349631264,-0.2355799809011137,1.8456916135890566,0,62,54,fragile_mild,0.0,0.3,1
random_common_cause,0.7639224928335306,0.7630115644294769,0.0011924356365983014,1,62,55,fragile_strong,0.0,0.5,1
placebo_treatment,0.7639224928335306,-1.4905786564052346,1.9512171331366368,0,62,55,fragile_strong,0.0,0.5,1
data_subset,0.7639224928335306,0.8953290867394162,0.3689281447945696,1,62,55,fragile_strong,0.0,0.5,1
random_common_cause,1.3163718294142601,1.340896603292862,0.018630582431648154,1,62,56,reliable_strong,1.0,0.0,0
placebo_treatment,1.3163718294142601,0.48015282954631344,0.3647547135371051,1,62,56,reliable_strong,1.0,0.0,0
data_subset,1.3163718294142601,1.2816853386488274,0.16792273833252405,1,62,56,reliable_strong,1.0,0.0,0
random_common_cause,0.8586025280358861,0.8564198866430522,0.0025420859146860516,1,62,57,reliable_strong,1.0,0.0,0
placebo_treatment,0.8586025280358861,0.5967984095640276,0.6950811231935761,0,62,57,reliable_strong,1.0,0.0,0
data_subset,0.8586025280358861,0.889681455023348,0.08543458338725608,1,62,57,reliable_strong,1.0,0.0,0
random_common_cause,0.508611236959904,0.5005912632953574,0.015768376869697027,1,62,58,fragile_strong,0.0,0.5,1
placebo_treatment,0.508611236959904,0.47040242111469166,0.9248761862329352,0,62,58,fragile_strong,0.0,0.5,1
data_subset,0.508611236959904,0.48979229134915536,0.7951817420675308,0,62,58,fragile_strong,0.0,0.5,1
random_common_cause,-0.02693739627942207,0.11785277874914535,5.375061996588552,0,62,59,fragile_mild,0.0,0.3,1
placebo_treatment,-0.02693739627942207,-0.5525017518291571,20.51058484264949,0,62,59,fragile_mild,0.0,0.3,1
data_subset,-0.02693739627942207,-0.1772494428774789,2.7701674387288313,0,62,59,fragile_mild,0.0,0.3,1
random_common_cause,0.31995377984880013,0.2349904223598637,0.2655488474900574,0,62,60,fragile_strong,0.0,0.5,1
placebo_treatment,0.31995377984880013,-0.061797950076123626,0.19314649167553935,1,62,60,fragile_strong,0.0,0.5,1
data_subset,0.31995377984880013,0.1410652825751552,2.1009633203024483,0,62,60,fragile_strong,0.0,0.5,1
random_common_cause,0.6614981788883004,0.6622325315249225,0.001110135537872778,1,62,61,reliable_strong,1.0,0.0,0
placebo_treatment,0.6614981788883004,-0.06051653099497678,0.09148404776666136,1,62,61,reliable_strong,1.0,0.0,0
data_subset,0.6614981788883004,0.6120208506272709,0.3026939589924234,1,62,61,reliable_strong,1.0,0.0,0
random_common_cause,1.2133132582902357,1.2121109956026248,0.0009908922361114838,1,62,62,fragile_strong,0.0,0.5,1
placebo_treatment,1.2133132582902357,0.3301236421343748,0.2720844265722234,1,62,62,fragile_strong,0.0,0.5,1
data_subset,1.2133132582902357,1.448450960089802,0.19099361207129487,1,62,62,fragile_strong,0.0,0.5,1
random_common_cause,0.07949373261774212,-0.08251762831276666,2.0380394226745575,0,62,63,fragile_strong,0.0,0.5,1
placebo_treatment,0.07949373261774212,-0.3496545579405639,4.398517297230611,0,62,63,fragile_strong,0.0,0.5,1
data_subset,0.07949373261774212,0.15625527026749086,3.1362296161583436,0,62,63,fragile_strong,0.0,0.5,1
random_common_cause,1.2217586068330828,1.1840475461598525,0.03086621241079775,1,62,64,reliable_strong,1.0,0.0,0
