noise,controller,seed,viol_rate,pearson,final_V,auc_V,convergence,deadlock_rate,nonzero_frac
Student-t(3),C3_EMA,3,0.28928928928928926,0.5987439303125303,1.3233903299135423,5.230304569548552,0,0.002,0.998
Student-t(3),C3_EMA,4,0.2992992992992993,0.6109591711900026,0.3728393523012259,3.8849427360671394,1,0.0,1.0
Student-t(3),C3_EMA,5,0.2882882882882883,0.7886201580729149,0.45917471325127734,3.8136211919347742,1,0.0,1.0
Student-t(3),C3_EMA,6,0.2832832832832833,0.7724860062982095,0.7638852806617555,4.369148609922171,1,0.0,1.0
Student-t(3),C3_EMA,7,0.2962962962962963,0.6780849586240176,1.1887038552179525,3.9494538530039645,1,0.0,1.0
Student-t(3),C3_EMA,8,0.3053053053053053,0.7140886892316721,0.07006013657852869,4.4023333186408635,1,0.0,1.0
Student-t(3),C3_EMA,9,0.2912912912912913,0.6877368358297404,56.995826627421145,3.5219699048070243,0,0.0,1.0
Student-t(3),C3_EMA,10,0.2922922922922923,0.6188656264692592,3.739924850649411,4.225200874570146,0,0.0,1.0
Student-t(3),C3_EMA,11,0.2832832832832833,0.7153246826008174,0.9298292477681144,4.0971048470498115,1,0.0,1.0
Student-t(3),C3_EMA,12,0.26626626626626626,0.7268380543881408,11.644031811081755,4.659842996959761,1,0.0,1.0
Student-t(3),C3_EMA,13,0.2992992992992993,0.6706400720342293,39.830856069682206,3.7251008654618665,0,0.001,0.999
Student-t(3),C3_EMA,14,0.2772772772772773,0.6920957750645798,3.5262569533157144,3.892659912426975,1,0.0,1.0
Student-t(3),C3_EMA,15,0.3033033033033033,0.6503769571546917,0.5259752100924231,4.5517924411993205,1,0.0,1.0
Student-t(3),C3_EMA,16,0.2862862862862863,0.6333559349592423,0.2161810311221891,5.240193044512363,1,0.0,1.0
Student-t(3),C3_EMA,17,0.28928928928928926,0.8128899794840406,10.582988184888414,3.826985378800668,0,0.0,1.0
Student-t(3),C3_EMA,18,0.3113113113113113,0.7724393266712629,3.2505272298303263,3.340505092632836,1,0.0,1.0
Student-t(3),C3_EMA,19,0.2822822822822823,0.6309098252414891,3.130778639227606,4.250722232143867,1,0.0,1.0
Student-t(3),C3_EMA,20,0.2992992992992993,0.7271365809615155,2.8696209455475983,3.9866841639281914,1,0.0,1.0
Student-t(3),C3_EMA,21,0.28428428428428426,0.7194638065387325,1.6881036664552256,4.696887447288223,1,0.0,1.0
Student-t(3),C3_EMA,22,0.2992992992992993,0.6081066887237273,0.9099879105849038,4.452407464763393,1,0.0,1.0
Student-t(3),C3_EMA,23,0.2932932932932933,0.7246309572372175,10.878053135122114,3.592241613260606,0,0.0,1.0
Student-t(3),C3_EMA,24,0.2912912912912913,0.708044451861782,1.3045364518074194,4.158545017372979,1,0.0,1.0
Student-t(3),C3_EMA,25,0.2752752752752753,0.698539200023968,2.6130858961555616,4.177664181517146,0,0.0,1.0
Student-t(3),C3_EMA,26,0.28928928928928926,0.7345083793675853,0.48670663394527297,4.7223007447484235,1,0.0,1.0
Student-t(3),C3_EMA,27,0.27427427427427425,0.7859249244745472,1.5636638118258563,3.9839078628614453,1,0.0,1.0
Student-t(3),C3_EMA,28,0.28128128128128127,0.7206630524581984,0.8193607001459766,4.190787151738286,1,0.002,0.998
Student-t(3),C3_EMA,29,0.3073073073073073,0.5986406707035805,0.5610042336301421,4.659780711180832,1,0.0,1.0
Student-t(3),C3_EMA,30,0.2822822822822823,0.5888841232220113,38.13965199412024,4.844388116434089,0,0.0,1.0
Student-t(3),C3_EMA,31,0.3003003003003003,0.6733650624262696,4.266645062167217,4.083795768559416,0,0.0,1.0
Student-t(3),C3_EMA,32,0.2872872872872873,0.712776117118579,0.4507412878418819,5.548780283141099,0,0.0,1.0
Student-t(3),C3_EMA,33,0.28428428428428426,0.7981701084799686,0.9535679596739421,4.0070802329949755,1,0.0,1.0
Student-t(3),C3_EMA,34,0.2902902902902903,0.7989503373419905,1.3364050191814074,4.4456343163361245,1,0.001,0.999
Student-t(3),C3_EMA,35,0.29429429429429427,0.5499764733529476,0.714403277776768,4.108802519745326,1,0.0,1.0
Student-t(3),C3_EMA,36,0.2702702702702703,0.7894070601854162,1.4033142470523912,4.147024689556538,0,0.002,0.998
