seed,severity,detector,delay,pre_fpr,arl0
76,moderate,page_hinkley,700,0.0,300
77,moderate,entropy_weighted,700,0.03333333333333333,0
77,moderate,uniform,700,0.03333333333333333,0
77,moderate,adwin,700,0.0,300
77,moderate,cusum,12,0.02666666666666667,122
77,moderate,page_hinkley,700,0.0,300
78,moderate,entropy_weighted,700,0.03333333333333333,0
78,moderate,uniform,700,0.03333333333333333,0
78,moderate,adwin,700,0.0,300
78,moderate,cusum,29,0.043333333333333335,96
78,moderate,page_hinkley,700,0.0,300
79,moderate,entropy_weighted,700,0.03333333333333333,0
79,moderate,uniform,700,0.03333333333333333,0
79,moderate,adwin,700,0.0,300
79,moderate,cusum,13,0.03,103
79,moderate,page_hinkley,700,0.0,300
80,moderate,entropy_weighted,700,0.03333333333333333,0
80,moderate,uniform,700,0.03333333333333333,0
80,moderate,adwin,700,0.0,300
80,moderate,cusum,1,0.03,94
80,moderate,page_hinkley,700,0.0,300
81,moderate,entropy_weighted,700,0.03333333333333333,0
81,moderate,uniform,700,0.03333333333333333,0
81,moderate,adwin,700,0.0,300
81,moderate,cusum,9,0.03666666666666667,90
81,moderate,page_hinkley,700,0.0,300
42,severe,entropy_weighted,700,0.03333333333333333,0
42,severe,uniform,700,0.03333333333333333,0
42,severe,adwin,700,0.0,300
42,severe,cusum,31,0.03333333333333333,101
42,severe,page_hinkley,700,0.0,300
43,severe,entropy_weighted,700,0.03333333333333333,0
43,severe,uniform,700,0.03333333333333333,0
43,severe,adwin,700,0.0,300
43,severe,cusum,3,0.02666666666666667,112
43,severe,page_hinkley,700,0.0,300
44,severe,entropy_weighted,700,0.03333333333333333,0
44,severe,uniform,700,0.03333333333333333,0
44,severe,adwin,700,0.0,300
44,severe,cusum,13,0.03333333333333333,104
44,severe,page_hinkley,597,0.0,300
45,severe,entropy_weighted,700,0.03333333333333333,0
45,severe,uniform,700,0.03333333333333333,0
45,severe,adwin,700,0.0,300
45,severe,cusum,7,0.02666666666666667,100
45,severe,page_hinkley,700,0.0,300
46,severe,entropy_weighted,124,0.03333333333333333,0
46,severe,uniform,700,0.03333333333333333,0
46,severe,adwin,700,0.0,300
46,severe,cusum,1,0.023333333333333334,116
46,severe,page_hinkley,700,0.0,300
47,severe,entropy_weighted,191,0.03333333333333333,0
47,severe,uniform,191,0.03333333333333333,0
47,severe,adwin,196,0.0,300
47,severe,cusum,4,0.03,109
47,severe,page_hinkley,283,0.0,300
48,severe,entropy_weighted,700,0.03333333333333333,0
48,severe,uniform,700,0.03333333333333333,0
48,severe,adwin,700,0.0,300
48,severe,cusum,30,0.03333333333333333,103
48,severe,page_hinkley,700,0.0,300
49,severe,entropy_weighted,700,0.03333333333333333,0
49,severe,uniform,700,0.03333333333333333,0
49,severe,adwin,623,0.0,300
49,severe,cusum,0,0.03,104
49,severe,page_hinkley,480,0.0,300
50,severe,entropy_weighted,482,0.03333333333333333,0
50,severe,uniform,700,0.03333333333333333,0
50,severe,adwin,700,0.0,300
50,severe,cusum,15,0.03333333333333333,102
50,severe,page_hinkley,590,0.0,300
51,severe,entropy_weighted,700,0.03333333333333333,0
51,severe,uniform,700,0.03333333333333333,0
51,severe,adwin,700,0.0,300
51,severe,cusum,40,0.03666666666666667,101
51,severe,page_hinkley,700,0.0,300
52,severe,entropy_weighted,223,0.03333333333333333,0
52,severe,uniform,700,0.03333333333333333,0
52,severe,adwin,674,0.0,300
52,severe,cusum,20,0.03333333333333333,96
52,severe,page_hinkley,447,0.0,300
53,severe,entropy_weighted,700,0.03333333333333333,0
53,severe,uniform,700,0.03333333333333333,0
53,severe,adwin,653,0.0,300
53,severe,cusum,8,0.03666666666666667,97
53,severe,page_hinkley,450,0.0,300
54,severe,entropy_weighted,134,0.03333333333333333,0
54,severe,uniform,137,0.03333333333333333,0
54,severe,adwin,700,0.0,300
54,severe,cusum,1,0.03,104
54,severe,page_hinkley,700,0.0,300
55,severe,entropy_weighted,123,0.03333333333333333,0
55,severe,uniform,126,0.03333333333333333,0
55,severe,adwin,700,0.0,300
55,severe,cusum,57,0.023333333333333334,121
55,severe,page_hinkley,498,0.0,300
56,severe,entropy_weighted,700,0.03333333333333333,0
56,severe,uniform,700,0.03333333333333333,0
56,severe,adwin,700,0.0,300
56,severe,cusum,11,0.023333333333333334,111
56,severe,page_hinkley,700,0.0,300
57,severe,entropy_weighted,700,0.03333333333333333,0
57,severe,uniform,700,0.03333333333333333,0
57,severe,adwin,700,0.0,300
57,severe,cusum,0,0.04,99
57,severe,page_hinkley,506,0.0,300
58,severe,entropy_weighted,700,0.03333333333333333,0
58,severe,uniform,700,0.03333333333333333,0
58,severe,adwin,700,0.0,300
58,severe,cusum,6,0.03333333333333333,104
58,severe,page_hinkley,700,0.0,300
59,severe,entropy_weighted,700,0.03333333333333333,0
59,severe,uniform,700,0.03333333333333333,0
59,severe,adwin,700,0.0,300
59,severe,cusum,0,0.02666666666666667,120
59,severe,page_hinkley,700,0.0,300
60,severe,entropy_weighted,57,0.03333333333333333,0
60,severe,uniform,60,0.03333333333333333,0
60,severe,adwin,325,0.0,300
60,severe,cusum,14,0.02666666666666667,104
60,severe,page_hinkley,364,0.0,300
61,severe,entropy_weighted,700,0.03333333333333333,0
61,severe,uniform,700,0.03333333333333333,0
61,severe,adwin,653,0.0,300
61,severe,cusum,41,0.03666666666666667,104
61,severe,page_hinkley,487,0.0,300
62,severe,entropy_weighted,39,0.03333333333333333,0
62,severe,uniform,42,0.03333333333333333,0
62,severe,adwin,166,0.0,300
62,severe,cusum,3,0.02666666666666667,120
62,severe,page_hinkley,296,0.0,300
63,severe,entropy_weighted,60,0.03333333333333333,0
63,severe,uniform,106,0.03333333333333333,0
63,severe,adwin,542,0.0,300
63,severe,cusum,7,0.03,109
63,severe,page_hinkley,411,0.0,300
64,severe,entropy_weighted,79,0.03333333333333333,0
64,severe,uniform,82,0.03333333333333333,0
64,severe,adwin,700,0.0,300
64,severe,cusum,4,0.03,109
